V (mL),pH,0,1
20.45632813035549,9.609334577539034,-9.80709877890229e-10,5.127427267492823e-10
20.470322241661325,9.70901269555493,-9.705796236159081e-10,5.073591546889133e-10
20.487544519820876,9.808690813570827,-9.583600753260146e-10,5.008779883908243e-10
20.50890916921202,9.90836893158672,-9.435605491381338e-10,4.930397010799448e-10
20.535551360857138,10.008047049602617,-9.255939556473969e-10,4.835340565445545e-10
20.568888321143127,10.107725167618511,-9.037684073343044e-10,4.719955312010304e-10
20.610695953058695,10.207403285634406,-8.772832391090724e-10,4.5800109017835045e-10
20.663205398779397,10.307081403650303,-8.452359645527707e-10,4.410736498261514e-10
20.729225218181604,10.406759521666197,-8.066489073921268e-10,4.206957456009963e-10
20.81229654909088,10.506437639682092,-7.605247265285442e-10,3.9633819143292115e-10
20.91689089726822,10.606115757697989,-7.059486918647995e-10,3.6751294195391804e-10
21.048663321259795,10.705793875713884,-6.42253267929549e-10,3.338580332329366e-10
21.21477809512364,10.805471993729778,-5.692662972955898e-10,2.9526510923749694e-10
21.424330009232296,10.905150111745675,-4.876500626915803e-10,2.5205231304892273e-10
21.688893174502045,11.00482822976157,-3.9931815493110534e-10,2.051733973690295e-10
22.023241905859354,11.104506347777464,-3.078599770944823e-10,1.5642241495139597e-10
22.44630720524813,11.20418446579336,-2.188143624626271e-10,1.0854419620065503e-10
22.982461228558964,11.303862583809256,-1.3950770053061667e-10,6.509261532561261e-11
23.663267144482685,11.40354070182515,-7.807706564610939e-11,2.9832880957259e-11
24.52990381884663,11.503218819841045,-4.137691578254277e-11,5.556262047679006e-12
25.636593177251722,11.602896937856942,-3.194462055988723e-11,-7.45921206746214e-12
27.05555873994887,11.702575055872837,-4.5112753810361284e-11,-1.2321485845512292e-11
28.884395366204092,11.802253173888731,-6.783506048546606e-11,-1.3943143514771883e-11
31.257370003552627,11.901931291904628,-7.928127598866297e-11,-1.4432724113055961e-11
34.36338936223593,12.00160940992052,-5.418536799806084e-11,-1.1492753797248678e-11
38.47580268371457,12.101287527936417,-3.559444058942596e-11,1.0209686394924145e-11
44.004374082222654,12.200965645952314,-9.275399198704903e-11,4.208460663290836e-11
51.59155616101421,12.300643763968207,-3.0733714184716376e-11,-7.253127785877833e-12
62.30464484610837,12.400321881984103,-2.790346842473923e-10,-4.742599368778855e-11
78.05768362328295,12.5,-2.9392129632932473e-09,-7.470702364023585e-10
