V (mL),[H^{+}] (mol/L),[PO_4^{3-}] (mol/L),[HPO_4^{2-}] (mol/L),[H_2PO_4^{-}] (mol/L),[H_3PO_4] (mol/L),[OH^{-}] (mol/L),[Na^{+}] (mol/L)
20.34913304145387,3.861916136806954e-09,1.0443299722318506e-07,0.008426371088248822,5.2776844415197485e-05,2.9460916851709574e-10,2.589388180828811e-06,0.01690841680965386
20.362933080290972,3.069903476314443e-09,1.315283620084498e-07,0.00843614687501729,4.200189190656614e-05,1.8637753930628613e-10,3.257431406933171e-06,0.016917943555519198
20.374314227670244,2.4403190074654463e-09,1.6561367470906324e-07,0.008443894455685356,3.341868823949701e-05,1.178788801650269e-10,4.097824902976986e-06,0.01692579879552646
20.38386392873797,1.9398514983104784e-09,2.0849177024224682e-07,0.008450013473394365,2.6584340203247722e-05,7.454085512588022e-11,5.155033778982323e-06,0.016932388829788963
20.39207812596673,1.542021278359733e-09,2.624303498562677e-07,0.008454821166843198,2.1144372083196546e-05,4.7128667319615114e-11,6.484994818383512e-06,0.016938056426462227
20.399385536142688,1.2257792026787395e-09,3.302817562444323e-07,0.008458567781729234,1.681547278195652e-05,2.979348668353835e-11,8.158076085926917e-06,0.016943097712088406
20.406169088534142,9.743929443814103e-10,4.1563356033302627e-07,0.008461448937975041,1.3371461201462386e-05,1.8832717814683502e-11,1.0262800092778227e-05,0.016947777047478
20.41278540074879,7.745616894016707e-10,5.229978564691276e-07,0.008463615425732828,1.0631925725655458e-05,1.1903315546452665e-11,1.2910527511016888e-05,0.01695234051169275
20.419583159106764,6.157123921598605e-10,6.580491695523097e-07,0.008465180832607241,8.453063558373296e-06,7.523016753199493e-12,1.6241349252239243e-05,0.0169570286023387
20.426921273701033,4.894403571032082e-10,8.279233844676376e-07,0.008466227331874163,6.72031611693205e-06,4.7543317058337714e-12,2.0431498659378612e-05,0.016962088756944656
20.435187706903868,3.890645473627575e-10,1.041593233657305e-06,0.008466809891172064,5.342462309896276e-06,3.0044371642418926e-12,2.5702675989843273e-05,0.01696778831501953
20.444819937542697,3.0927409196595373e-10,1.3103397661032447e-06,0.008466959094901305,4.246889899987799e-06,1.8985172284980267e-12,3.2333778547156265e-05,0.016974428579115707
20.45632813035549,2.458472883477162e-10,1.6483440411624177e-06,0.008466682711431611,3.375815534705793e-06,1.199621193695838e-12,4.067565710082757e-05,0.01698236070106508
20.470322241661325,1.954282326195578e-10,2.0734292434681367e-06,0.008465966077192308,2.6832666221555026e-06,7.579684571194877e-13,5.116967935470764e-05,0.01699200422208403
20.487544519820876,1.5534925913352572e-10,2.6079907282885495e-06,0.008464771312239711,2.1326737130875677e-06,4.788876116107285e-13,6.437108265450298e-05,0.017003869239322542
20.50890916921202,1.2348979464147407e-10,3.2801604296153193e-06,0.008463035323972837,1.694951290629704e-06,3.025438229935636e-13,8.097835152315887e-05,0.017018583364997966
20.535551360857138,9.816415904169805e-11,4.125262850698995e-06,0.008460666495073852,1.3469687702849376e-06,1.9112191004519983e-13,0.00010187017438566555,0.01703692489809764
20.568888321143127,7.803237626510314e-11,5.187632736848935e-06,0.008457539886023128,1.0703329295094338e-06,1.2072402854915992e-13,0.00012815193485876306,0.017059863956244294
20.610695953058695,6.202927631654351e-11,6.522879644536675e-06,0.00845349070901676,8.504186855973455e-07,7.624818467378314e-14,0.00016121419745361335,0.017088613733793823
20.663205398779397,4.9308137269616955e-11,8.200701918760858e-06,0.008448305745993473,6.755977881129867e-07,4.815116679595458e-14,0.0002028062821623128,0.017124694583149556
20.729225218181604,3.9195885320218696e-11,1.0308371651067902e-05,0.008441712285843743,5.36625152106802e-07,3.040265441424956e-14,0.00025512882075000905,0.017170014286698013
20.81229654909088,3.1157482539548077e-11,1.2955031924804657e-05,0.008433364041897684,4.261507019872184e-07,1.9192235697032176e-14,0.0003209501918939383,0.0172269687304835
20.91689089726822,2.476761808723515e-11,1.62769658222762e-05,0.008422823378045502,3.3833111201658945e-07,1.2112287714332959e-14,0.00040375299573735895,0.017298568249690897
21.048663321259795,1.9688205070371434e-11,2.044400910400069e-05,0.008409539018887776,2.6852103609550156e-07,7.64160242397753e-15,0.000507918317807898,0.017388596241990073
21.21477809512364,1.5650492410199682e-11,2.566727785294048e-05,0.008392818246729624,2.1302757543295114e-07,4.819076613537926e-15,0.0006389575316801421,0.017501808301356857
21.424330009232296,1.2440845257667612e-11,3.22083563171668e-05,0.008371792400290371,1.6891504710044354e-07,3.037513570514194e-15,0.0008038039050310292,0.01764418218951946
21.688893174502045,9.889441601489936e-12,4.039001827800597e-05,0.008345374297406255,1.338497579571925e-07,1.9133277062358215e-15,0.001011179437926343,0.01782323152812323
22.023241905859354,7.861287007729816e-12,5.0608404638074174e-05,0.008312206028095813,1.0597659250718766e-07,1.2042138106272357e-15,0.0012720563427040922,0.01804839927368118
22.44630720524813,6.2490720819455676e-12,6.33462985992826e-05,0.008270595443558652,8.382089853368505e-08,7.571254524998964e-16,0.0016002375822950369,0.018331550961045287
22.982461228558964,4.967494743157647e-12,7.918664718166028e-05,0.008218439665887551,6.621048778210186e-08,4.75405501957547e-16,0.0020130871831871063,0.018687592522519777
23.663267144482685,3.948746901894642e-12,9.882465136660138e-05,0.008153134167160448,5.221362999393681e-08,2.980184732137276e-16,0.0025324489637970726,0.019135243383821953
24.52990381884663,3.1389267430429058e-12,0.00012307540472494263,0.008071466577189957,4.108976267765842e-08,1.864295765233992e-16,0.003185802288047631,0.01969800270184921
25.636593177251722,2.4951867878547552e-12,0.00015287193895257843,0.00796949561731879,3.225031034985167e-08,1.163153308708905e-16,0.004007715994920572,0.02040535526228643
27.05555873994887,1.983466839448897e-12,0.00018924526812847786,0.007842417764289383,2.5227540816277133e-08,7.232690173362124e-17,0.0050416774312085156,0.02129427394461731
28.884395366204092,1.5766918622456315e-12,0.00023327312788870246,0.007684427877024806,1.9649810431710812e-08,4.4782175856041434e-17,0.006342393361349191,0.02241108807946359
31.257370003552627,1.2533394453734896e-12,0.00028597699050240716,0.007488585619983509,1.522188749381159e-08,2.7576377512690194e-17,0.007978684495180818,0.023813801848007937
34.36338936223593,9.96301054723405e-13,0.00034813697502929903,0.0072467076553160105,1.1709310744438204e-08,1.686249840661574e-17,0.010037126782703453,0.025574964672552446
38.47580268371457,7.919768226453374e-13,0.000419980986581134,0.006949316657252073,8.925952544460038e-09,1.0218026992713076e-17,0.012626632136276773,0.027785217300090446
44.004374082222654,6.295559807286726e-13,0.0005006878518246434,0.006585691887126822,6.724124753298632e-09,6.118854361177316e-18,0.01588421094566618,0.03055766490613496
51.59155616101421,5.004448634587521e-13,0.0005876255890913229,0.006144081043267245,4.986699193951805e-09,3.607193233792829e-18,0.01998222127985576,0.03403326508912925
62.30464484610837,3.978122184978265e-13,0.0006752285820540631,0.005612145674263191,3.620820983743834e-09,2.082021315717305e-18,0.025137488329948377,0.03838746876602544
78.05768362328295,3.162277660168375e-13,0.0007534073793115428,0.004977713191917113,2.5528768767186843e-09,1.1668898698890163e-18,0.0316227766016838,0.04383842473680034
